epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1199,1.36475,3.59532,1.28879,0.018,0.61364,0.07952,0.04892,1.30335,3.32919,1.19405,0.00014,0.00014,0.00014
2,15.1347,1.55513,2.61946,1.44472,0.85796,0.79545,0.8791,0.49865,1.56623,2.28091,1.22374,0.000298515,0.000298515,0.000298515
3,16.5223,1.5163,2.23008,1.40274,0.24307,0.56818,0.3278,0.11584,1.78064,11.733,1.51755,0.000455446,0.000455446,0.000455446
4,17.8984,1.68635,2.04784,1.48372,0.33863,0.54545,0.31906,0.13004,1.78024,7.3602,1.53861,0.000610793,0.000610793,0.000610793
5,19.3672,1.71968,2.2707,1.54398,0.42836,0.40909,0.33931,0.15827,2.2826,3.98639,1.73551,0.000764556,0.000764556,0.000764556
6,20.5941,1.69535,2.68188,1.56903,0.42836,0.40909,0.33931,0.15827,2.2826,3.98639,1.73551,0.000916735,0.000916735,0.000916735
7,21.8309,1.81889,2.9966,1.55677,0.15917,0.36364,0.08978,0.0371,2.25977,13.3539,1.70712,0.00106733,0.00106733,0.00106733
8,23.0486,2.14972,4.26607,1.51468,0.15917,0.36364,0.08978,0.0371,2.25977,13.3539,1.70712,0.00121634,0.00121634,0.00121634
9,24.2533,2.31704,4.4006,1.66825,0.15917,0.36364,0.08978,0.0371,2.25977,13.3539,1.70712,0.00136377,0.00136377,0.00136377
10,25.4775,2.26482,4.32172,1.52806,0.00816,0.27273,0.00542,0.00092,nan,nan,nan,0.00150961,0.00150961,0.00150961
11,26.8331,2.57049,2.89987,1.89757,0.00816,0.27273,0.00542,0.00092,nan,nan,nan,0.00165387,0.00165387,0.00165387
12,28.0977,2.44878,3.14246,2.00919,0.00816,0.27273,0.00542,0.00092,nan,nan,nan,0.00179654,0.00179654,0.00179654
13,29.3235,2.71868,3.31567,2.21066,0.00816,0.27273,0.00542,0.00092,nan,nan,nan,0.0018812,0.0018812,0.0018812
14,30.5831,2.58098,3.10658,2.13265,0.01067,0.36364,0.00735,0.00159,3.09358,inf,52.8648,0.0018713,0.0018713,0.0018713
15,31.8034,2.61605,3.07704,2.14431,0.01067,0.36364,0.00735,0.00159,3.09358,inf,52.8648,0.0018614,0.0018614,0.0018614
16,32.9949,2.45196,3.24293,2.24908,0.01067,0.36364,0.00735,0.00159,3.09358,inf,52.8648,0.0018515,0.0018515,0.0018515
17,34.2322,2.46816,3.28634,2.17014,0.01067,0.36364,0.00735,0.00159,3.09358,inf,52.8648,0.0018416,0.0018416,0.0018416
18,35.4604,2.67981,3.83646,2.23624,0.00133,0.04545,0.0007,0.0001,nan,nan,nan,0.0018317,0.0018317,0.0018317
19,36.6374,2.30524,5.01463,2.05428,0.00133,0.04545,0.0007,0.0001,nan,nan,nan,0.0018218,0.0018218,0.0018218
20,37.8266,2.18833,4.95028,1.86811,0.00133,0.04545,0.0007,0.0001,nan,nan,nan,0.0018119,0.0018119,0.0018119
21,39.0057,2.40103,5.97722,2.12777,0.00133,0.04545,0.0007,0.0001,nan,nan,nan,0.001802,0.001802,0.001802
22,40.2187,2.34026,5.01098,2.05784,0.13514,0.18182,0.13787,0.03646,2.43549,6.2195,2.19983,0.0017921,0.0017921,0.0017921
23,41.3975,2.36248,5.6981,2.15166,0.13514,0.18182,0.13787,0.03646,2.43549,6.2195,2.19983,0.0017822,0.0017822,0.0017822
24,42.5759,2.28699,5.72629,2.09908,0.13514,0.18182,0.13787,0.03646,2.43549,6.2195,2.19983,0.0017723,0.0017723,0.0017723
25,43.8999,2.272,4.57842,1.99731,0.13514,0.18182,0.13787,0.03646,2.43549,6.2195,2.19983,0.0017624,0.0017624,0.0017624
26,45.0976,2.4933,5.0275,2.14913,0.00387,0.11364,0.00216,0.00064,3.4829,4.16579,8.67373,0.0017525,0.0017525,0.0017525
27,46.2806,2.54226,3.56089,2.1946,0.00387,0.11364,0.00216,0.00064,3.4829,4.16579,8.67373,0.0017426,0.0017426,0.0017426
28,47.4722,2.50174,3.98906,2.15781,0.00387,0.11364,0.00216,0.00064,3.4829,4.16579,8.67373,0.0017327,0.0017327,0.0017327
29,48.6572,2.43601,4.00815,2.01605,0.00387,0.11364,0.00216,0.00064,3.4829,4.16579,8.67373,0.0017228,0.0017228,0.0017228
30,49.8584,2.63246,4.00523,2.33851,0.00555,0.15909,0.00373,0.00149,nan,nan,nan,0.0017129,0.0017129,0.0017129
31,51.0417,2.53078,2.97975,1.95115,0.00555,0.15909,0.00373,0.00149,nan,nan,nan,0.001703,0.001703,0.001703
32,52.2312,2.3711,2.87523,1.84252,0.00555,0.15909,0.00373,0.00149,nan,nan,nan,0.0016931,0.0016931,0.0016931
33,53.4128,2.35437,2.88639,1.90682,0.00555,0.15909,0.00373,0.00149,nan,nan,nan,0.0016832,0.0016832,0.0016832
34,54.6204,2.24754,2.75511,1.81704,0.03795,0.45455,0.02783,0.00902,2.78794,32.0364,3.87866,0.0016733,0.0016733,0.0016733
35,55.8113,2.2035,2.28141,1.81031,0.03795,0.45455,0.02783,0.00902,2.78794,32.0364,3.87866,0.0016634,0.0016634,0.0016634
